Id,SalePrice
1461,121556.36
1462,150985.95
1463,198638.69
1464,216561.0
1465,175600.4
1466,194130.69
1467,194455.61
1468,187908.69
1469,195151.0
1470,125508.41
1471,195076.95
1472,104193.58
1473,106893.17
1474,150045.97
1475,94313.71
1476,300148.12
1477,244860.88
1478,277776.34
1479,266056.22
1480,392889.53
1481,296290.88
1482,208611.88
1483,193615.02
1484,176566.31
1485,201938.3
1486,211263.34
1487,288809.97
1488,242348.92
1489,198038.28
1490,234994.62
1491,211074.03
1492,85310.22
1493,192606.52
1494,272257.38
1495,267706.2
1496,214278.22
1497,172772.31
1498,164540.3
1499,166233.4
1500,171725.39
1501,206814.55
1502,159491.8
1503,266352.3
1504,244935.14
1505,237444.88
1506,205159.08
1507,252500.92
1508,203501.08
1509,165364.83
1510,173910.33
1511,147405.84
1512,192431.56
1513,151868.47
1514,166977.86
1515,207403.4
1516,160924.38
1517,163155.14
1518,134908.4
1519,236353.81
1520,129018.055
1521,131010.375
1522,201632.64
1523,97555.266
1524,96984.11
1525,109566.984
1526,102789.84
1527,111906.12
1528,135387.9
1529,140345.56
1530,209406.75
1531,142754.61
1532,94899.9
1533,135668.53
1534,113170.195
1535,154311.66
1536,101475.59
1537,89711.82
1538,150668.67
1539,185672.4
1540,111339.25
1541,143328.39
1542,133141.7
1543,167226.89
1544,76723.586
1545,93921.94
1546,140294.55
1547,136496.83
1548,121165.68
1549,122304.695
1550,136994.9
1551,106792.516
1552,140950.89
1553,150880.84
1554,96363.12
1555,186957.36
1556,78556.57
1557,89506.52
1558,85205.03
1559,85004.05
1560,117962.09
1561,137930.89
1562,127951.484
1563,119123.78
1564,168892.28
1565,163373.55
1566,228921.75
1567,86694.125
1568,247349.72
1569,145980.12
1570,144230.45
1571,117032.44
1572,147694.9
1573,216981.95
1574,146488.81
1575,233155.36
1576,258467.95
1577,193545.83
1578,144674.97
1579,149924.53
1580,204117.27
1581,159964.61
1582,131320.97
1583,294441.2
1584,238928.25
1585,155540.48
1586,66759.34
1587,91822.61
1588,144528.42
1589,111906.01
1590,132435.9
1591,87410.76
1592,141493.86
1593,123809.875
1594,110125.99
1595,124153.88
1596,210270.52
1597,183521.08
1598,199154.6
1599,163116.02
1600,170639.97
1601,51171.137
1602,112689.81
1603,58202.95
1604,236404.16
1605,246684.33
1606,172411.84
1607,182163.28
1608,236271.39
1609,189096.05
1610,173799.67
1611,157724.4
1612,194378.08
1613,204722.67
1614,123784.08
1615,85932.12
1616,75497.266
1617,90132.33
1618,116778.125
1619,149844.48
1620,200120.12
1621,144339.06
1622,146426.03
1623,241135.06
1624,240516.9
1625,112690.31
1626,206987.6
1627,209721.62
1628,263985.1
1629,183668.89
1630,273755.1
1631,202838.14
1632,213900.2
1633,185633.44
1634,210070.6
1635,195717.89
1636,177009.98
1637,219559.72
1638,219028.25
1639,207676.53
1640,241516.62
1641,192038.23
1642,229280.31
1643,222302.97
1644,228106.72
1645,222891.77
1646,175374.25
1647,168004.34
1648,140327.84
1649,146624.75
1650,139038.58
1651,136380.83
1652,109335.83
1653,104481.67
1654,153251.11
1655,121212.94
1656,144939.31
1657,152228.61
1658,153292.14
1659,105825.984
1660,164504.77
1661,365309.72
1662,304337.97
1663,309636.72
1664,368172.44
1665,281931.38
1666,297783.06
1667,311031.03
1668,289876.47
1669,260236.81
1670,290442.06
1671,274193.44
1672,349488.06
1673,285146.12
1674,257103.4
1675,206682.44
1676,203406.44
1677,224347.19
1678,364115.9
1679,322905.7
1680,266375.72
1681,231261.38
1682,295895.84
1683,203685.19
1684,201691.03
1685,196106.34
1686,183630.14
1687,185719.67
1688,216995.03
1689,215705.83
1690,216611.61
1691,208277.58
1692,251617.19
1693,174426.61
1694,199249.03
1695,175638.77
1696,266847.2
1697,179852.1
1698,314142.28
1699,281461.28
1700,254907.45
1701,267212.3
1702,254009.39
1703,261967.38
1704,267688.16
1705,242861.11
1706,330954.97
1707,216992.7
1708,217216.4
1709,269550.88
1710,228972.45
1711,263808.38
1712,258093.75
1713,263025.72
1714,222911.12
1715,205786.56
1716,198072.6
1717,195085.17
1718,141982.94
1719,215747.39
1720,225632.98
1721,190743.17
1722,137390.16
1723,181222.78
1724,215945.64
1725,233266.4
1726,193291.8
1727,160424.72
1728,189690.22
1729,172304.05
1730,153451.83
1731,119398.875
1732,151920.08
1733,111015.41
1734,120234.24
1735,129950.08
1736,101258.41
1737,286565.03
1738,237397.56
1739,255194.56
1740,237131.03
1741,208893.38
1742,182810.83
1743,186718.4
1744,278890.62
1745,208792.8
1746,192905.12
1747,219569.89
1748,234366.42
1749,168447.55
1750,139756.33
1751,255999.12
1752,104233.54
1753,166912.38
1754,213515.1
1755,177620.44
1756,147916.34
1757,108146.89
1758,166457.4
1759,178884.23
1760,188646.31
1761,189380.5
1762,175059.61
1763,176174.16
1764,110197.14
1765,160684.22
1766,199921.56
1767,236876.27
1768,144036.48
1769,170202.36
1770,157088.36
1771,112670.44
1772,128241.375
1773,140059.2
1774,172855.53
1775,126307.95
1776,122564.42
1777,98111.734
1778,130808.06
1779,122301.03
1780,169326.86
1781,118528.94
1782,88878.15
1783,155876.52
1784,98029.93
1785,121815.65
1786,153171.61
1787,165466.86
1788,64892.82
1789,104880.555
1790,89729.79
1791,226665.0
1792,163527.23
1793,139832.02
1794,157854.78
1795,123105.484
1796,114344.516
1797,139168.9
1798,112621.64
1799,97178.72
1800,112039.016
1801,141125.94
1802,151204.56
1803,166874.22
1804,142881.95
1805,136701.1
1806,115143.76
1807,132513.19
1808,132487.23
1809,117445.16
1810,143054.31
1811,73152.52
1812,88663.24
1813,112062.875
1814,83486.95
1815,50005.547
1816,82619.05
1817,128167.13
1818,149431.77
1819,126901.305
1820,69310.01
1821,96058.85
1822,149979.95
1823,42523.29
1824,133838.2
1825,140042.44
1826,96239.7
1827,97221.3
1828,135606.36
1829,157176.86
1830,138290.83
1831,138220.6
1832,100102.92
1833,129131.83
1834,110265.81
1835,143368.6
1836,106335.25
1837,81719.07
1838,99473.81
1839,86002.89
1840,157081.3
1841,125445.57
1842,98433.1
1843,162687.1
1844,129259.11
1845,159719.53
1846,148830.08
1847,179729.83
1848,42361.594
1849,116581.484
1850,113317.27
1851,135481.53
1852,134405.28
1853,136607.75
1854,165000.83
1855,152075.45
1856,241277.34
1857,141997.19
1858,136984.64
1859,110485.58
1860,165895.69
1861,110912.805
1862,308834.5
1863,304439.38
1864,304457.12
1865,287897.78
1866,293352.38
1867,244242.38
1868,285748.75
1869,218144.64
1870,233516.22
1871,249778.73
1872,201140.31
1873,245133.23
1874,157661.1
1875,207847.5
1876,221229.16
1877,216491.0
1878,227195.48
1879,131188.81
1880,137184.81
1881,259446.77
1882,254022.62
1883,200572.5
1884,211218.12
1885,233634.38
1886,264366.84
1887,229000.42
1888,264946.5
1889,198154.88
